id,task_id,person_id,date,hours
1,73,14,2024-03-24,8.0
2,73,19,2024-03-24,15.0
3,74,3,2024-03-24,19.0
4,74,2,2024-03-24,10.0
5,75,15,2024-03-24,22.0
6,76,25,2024-03-31,18.0
7,77,7,2024-03-31,24.0
8,77,22,2024-03-31,15.0
9,78,9,2024-03-31,23.0
10,79,3,2024-03-31,24.0
11,79,12,2024-03-31,14.0
12,80,7,2024-03-31,18.0
13,81,2,2024-04-07,20.0
14,82,15,2024-04-07,11.0
15,82,14,2024-04-07,23.0
16,83,15,2024-04-07,19.0
17,83,22,2024-04-07,17.0
18,84,8,2024-04-07,20.0
19,85,12,2024-04-14,13.0
20,85,15,2024-04-14,9.0
21,86,2,2024-04-14,19.0
22,86,14,2024-04-14,23.0
23,87,22,2024-04-14,16.0
24,87,23,2024-04-14,23.0
25,88,20,2024-04-14,12.0
26,88,9,2024-04-14,8.0
27,89,4,2024-04-14,21.0
28,89,26,2024-04-14,20.0
29,90,9,2024-04-21,24.0
30,90,23,2024-04-21,15.0
31,91,22,2024-04-21,19.0
32,91,7,2024-04-21,15.0
33,92,21,2024-04-21,11.0
34,92,10,2024-04-21,11.0
35,93,21,2024-04-28,21.0
36,94,13,2024-04-28,15.0
37,95,3,2024-04-28,11.0
38,95,8,2024-04-28,21.0
39,96,4,2024-04-28,13.0
40,97,24,2024-05-05,21.0
41,97,7,2024-05-05,13.0
42,98,1,2024-05-05,20.0
43,98,14,2024-05-05,19.0
44,99,4,2024-05-05,24.0
45,100,21,2024-05-12,19.0
46,100,3,2024-05-12,24.0
47,101,24,2024-05-12,23.0
48,102,26,2024-05-12,15.0
49,102,21,2024-05-12,23.0
50,103,1,2024-05-12,21.0
51,104,23,2024-05-12,11.0
52,105,22,2024-05-19,15.0
53,106,18,2024-05-19,9.0
54,106,5,2024-05-19,12.0
55,107,9,2024-05-19,8.0
56,108,14,2024-05-26,16.0
57,109,14,2024-05-26,15.0
58,110,17,2024-05-26,10.0
59,110,21,2024-05-26,24.0
60,111,14,2024-06-02,24.0
61,112,18,2024-06-02,14.0
62,112,2,2024-06-02,15.0
63,113,18,2024-06-02,24.0
64,114,22,2024-06-02,22.0
65,114,15,2024-06-02,13.0
66,115,12,2024-06-02,10.0
67,115,5,2024-06-02,10.0
68,116,19,2024-06-09,11.0
69,116,10,2024-06-09,8.0
70,117,19,2024-06-09,11.0
71,118,17,2024-06-09,15.0
72,118,26,2024-06-09,17.0
73,119,10,2024-06-09,22.0
74,120,18,2024-06-09,10.0
75,121,21,2024-06-16,14.0
76,122,4,2024-06-16,8.0
77,123,6,2024-06-16,18.0
78,123,9,2024-06-16,11.0
79,124,19,2024-06-23,12.0
80,124,22,2024-06-23,18.0
81,125,13,2024-06-23,24.0
82,126,4,2024-06-23,14.0
83,127,7,2024-06-23,24.0
84,128,22,2024-06-23,18.0
85,128,24,2024-06-23,22.0
86,129,9,2024-06-30,8.0
87,130,6,2024-06-30,11.0
88,131,12,2024-06-30,9.0
89,131,24,2024-06-30,13.0
90,132,15,2024-06-30,19.0
91,133,14,2024-06-30,8.0
92,133,25,2024-06-30,14.0
93,134,5,2024-07-07,19.0
94,134,25,2024-07-07,23.0
95,135,18,2024-07-07,16.0
96,136,23,2024-07-07,20.0
97,137,3,2024-07-07,11.0
98,137,22,2024-07-07,22.0
99,138,21,2024-07-14,11.0
100,139,25,2024-07-14,20.0
101,140,20,2024-07-14,17.0
102,141,2,2024-07-14,9.0
103,141,8,2024-07-14,24.0
104,142,17,2024-07-21,16.0
105,143,16,2024-07-21,18.0
106,144,4,2024-07-21,24.0
107,145,18,2024-07-28,18.0
108,145,12,2024-07-28,21.0
109,146,7,2024-07-28,24.0
110,146,10,2024-07-28,12.0
