id,person_id,task_id,date,hours,allocated_task_id
1,14,73,2024-03-24,8.0,1
2,14,73,2024-03-25,5.0,1
3,14,73,2024-03-26,5.0,1
4,14,73,2024-03-27,8.0,1
5,19,73,2024-03-24,3.0,2
6,19,73,2024-03-25,8.0,2
7,19,73,2024-03-26,6.0,2
8,19,73,2024-03-27,8.0,2
9,3,74,2024-03-24,3.0,3
10,3,74,2024-03-25,5.0,3
11,3,74,2024-03-26,5.0,3
12,2,74,2024-03-24,8.0,4
13,2,74,2024-03-25,7.0,4
14,2,74,2024-03-26,8.0,4
15,2,74,2024-03-27,2.0,4
16,15,75,2024-03-24,7.0,5
17,15,75,2024-03-25,3.0,5
18,15,75,2024-03-26,6.0,5
19,15,75,2024-03-27,5.0,5
20,25,76,2024-03-31,4.0,6
21,25,76,2024-04-01,3.0,6
22,25,76,2024-04-02,8.0,6
23,25,76,2024-04-03,6.0,6
24,7,77,2024-03-31,6.0,7
25,7,77,2024-04-01,2.0,7
26,22,77,2024-03-31,5.0,8
27,22,77,2024-04-01,6.0,8
28,9,78,2024-03-31,7.0,9
29,9,78,2024-04-01,5.0,9
30,9,78,2024-04-02,8.0,9
31,9,78,2024-04-03,5.0,9
32,3,79,2024-03-31,5.0,10
33,3,79,2024-04-01,2.0,10
34,12,79,2024-03-31,8.0,11
35,12,79,2024-04-01,3.0,11
36,12,79,2024-04-02,6.0,11
37,12,79,2024-04-03,8.0,11
38,7,80,2024-03-31,5.0,12
39,7,80,2024-04-01,7.0,12
40,7,80,2024-04-02,6.0,12
41,7,80,2024-04-03,4.0,12
42,2,81,2024-04-07,7.0,13
43,2,81,2024-04-08,8.0,13
44,15,82,2024-04-07,6.0,14
45,15,82,2024-04-08,5.0,14
46,14,82,2024-04-07,6.0,15
47,14,82,2024-04-08,5.0,15
48,14,82,2024-04-09,6.0,15
49,14,82,2024-04-10,3.0,15
50,15,83,2024-04-07,6.0,16
51,15,83,2024-04-08,6.0,16
52,15,83,2024-04-09,6.0,16
53,15,83,2024-04-10,2.0,16
54,22,83,2024-04-07,5.0,17
55,22,83,2024-04-08,2.0,17
56,22,83,2024-04-09,6.0,17
57,22,83,2024-04-10,3.0,17
58,8,84,2024-04-07,6.0,18
59,8,84,2024-04-08,6.0,18
60,8,84,2024-04-09,7.0,18
61,12,85,2024-04-14,7.0,19
62,12,85,2024-04-15,3.0,19
63,12,85,2024-04-16,2.0,19
64,15,85,2024-04-14,3.0,20
65,15,85,2024-04-15,6.0,20
66,15,85,2024-04-16,2.0,20
67,15,85,2024-04-17,2.0,20
