project_id,tag_id
27,122
28,2
28,114
29,115
30,103
31,2
31,105
32,116
33,124
33,101
34,116
34,112
35,121
36,1
36,4
37,2
38,125
39,109
40,104
40,106
41,115
42,118
43,118
44,111
44,5
45,112
46,110
47,8
47,114
48,115
48,110
49,124
49,126
50,123
51,120
51,118
52,101
52,125
53,103
54,3
54,5
55,3
56,126
56,105
57,7
58,102
58,124
59,105
60,116
60,109
61,125
61,127
62,127
62,113
63,4
64,118
64,6
65,120
65,119
66,118
67,125
67,127
68,122
69,119
69,107
70,125
71,121
71,110
72,126
72,120
73,113
74,104
74,2
75,114
76,120
76,125
77,1
77,114
78,117
79,110
79,103
80,110
81,3
82,105
82,110
83,126
83,114
84,114
84,103
85,2
86,102
86,109
87,104
88,122
88,126
89,8
90,119
90,124
91,102
91,105
92,114
92,123
93,3
94,116
94,8
95,106
96,113
96,112
97,124
98,117
98,102
99,125
100,8
101,107
101,111
102,101
102,6
103,126
104,110
104,106
105,120
105,115
106,102
106,107
107,125
107,106
108,111
109,119
109,118
110,109
110,102
111,117
111,126
112,3
113,110
113,111
114,104
115,115
116,3
117,4
117,108
118,125
119,120
119,5
120,111
120,3
121,108
121,121
122,121
122,117
123,101
123,123
124,2
125,106
125,118
126,125
126,120
