id,name,project_manager_id,budget,status,is_active,is_successful,start_date,end_date
27,Synthetic_1,17,6000.0,Completed,0,1.0,2024-03-24,2024-04-07
28,Synthetic_2,17,4000.0,Completed,0,0.0,2024-03-31,2024-04-12
29,Synthetic_3,11,6000.0,Confirmed,0,0.0,2024-04-07,2024-04-24
30,Synthetic_4,11,7000.0,Confirmed,0,0.0,2024-04-14,2024-04-29
31,Synthetic_5,5,8000.0,Completed,0,1.0,2024-04-21,2024-05-08
32,Synthetic_6,17,7000.0,Confirmed,0,1.0,2024-04-28,2024-05-15
33,Synthetic_7,17,4000.0,Confirmed,0,0.0,2024-05-05,2024-05-15
34,Synthetic_8,21,5000.0,Completed,0,0.0,2024-05-12,2024-05-19
35,Synthetic_9,11,8000.0,Completed,0,0.0,2024-05-19,2024-05-30
36,Synthetic_10,11,7000.0,Completed,0,1.0,2024-05-26,2024-06-13
37,Synthetic_11,21,8000.0,Completed,0,0.0,2024-06-02,2024-06-12
38,Synthetic_12,17,5000.0,Confirmed,0,1.0,2024-06-09,2024-06-19
39,Synthetic_13,11,7000.0,Confirmed,0,1.0,2024-06-16,2024-06-27
40,Synthetic_14,17,7000.0,Confirmed,0,1.0,2024-06-23,2024-07-10
41,Synthetic_15,17,8000.0,Completed,0,0.0,2024-06-30,2024-07-15
42,Synthetic_16,5,6000.0,Confirmed,0,0.0,2024-07-07,2024-07-19
43,Synthetic_17,21,8000.0,Completed,0,1.0,2024-07-14,2024-07-28
44,Synthetic_18,17,6000.0,Completed,0,1.0,2024-07-21,2024-08-03
45,Synthetic_19,21,4000.0,Completed,0,0.0,2024-07-28,2024-08-04
46,Synthetic_20,17,4000.0,Completed,0,0.0,2024-08-04,2024-08-12
47,Synthetic_21,21,5000.0,Confirmed,0,1.0,2024-08-11,2024-08-24
48,Synthetic_22,5,6000.0,Completed,0,0.0,2024-08-18,2024-09-01
49,Synthetic_23,17,6000.0,Completed,0,0.0,2024-08-25,2024-09-08
50,Synthetic_24,5,6000.0,Confirmed,0,1.0,2024-09-01,2024-09-08
51,Synthetic_25,21,6000.0,Completed,0,1.0,2024-09-08,2024-09-19
52,Synthetic_26,17,5000.0,Confirmed,0,0.0,2024-09-15,2024-09-28
53,Synthetic_27,17,6000.0,Completed,0,0.0,2024-09-22,2024-10-02
54,Synthetic_28,21,6000.0,Confirmed,0,0.0,2024-09-29,2024-10-13
55,Synthetic_29,11,6000.0,Confirmed,0,0.0,2024-10-06,2024-10-21
56,Synthetic_30,11,8000.0,Confirmed,0,1.0,2024-10-13,2024-10-27
57,Synthetic_31,21,7000.0,Completed,0,0.0,2024-10-20,2024-11-04
58,Synthetic_32,17,5000.0,Completed,0,1.0,2024-10-27,2024-11-08
59,Synthetic_33,5,4000.0,Completed,0,1.0,2024-11-03,2024-11-19
60,Synthetic_34,17,5000.0,Confirmed,0,1.0,2024-11-10,2024-11-22
61,Synthetic_35,17,4000.0,Confirmed,0,1.0,2024-11-17,2024-11-28
62,Synthetic_36,21,5000.0,Confirmed,0,1.0,2024-11-24,2024-12-04
63,Synthetic_37,5,6000.0,Completed,0,0.0,2024-12-01,2024-12-13
64,Synthetic_38,17,5000.0,Confirmed,0,0.0,2024-12-08,2024-12-15
65,Synthetic_39,11,6000.0,Confirmed,0,1.0,2024-12-15,2024-12-27
66,Synthetic_40,11,8000.0,Completed,0,0.0,2024-12-22,2025-01-04
67,Synthetic_41,21,6000.0,Confirmed,0,0.0,2024-12-29,2025-01-13
68,Synthetic_42,11,4000.0,Completed,0,1.0,2025-01-05,2025-01-15
69,Synthetic_43,11,6000.0,Completed,0,0.0,2025-01-12,2025-01-23
70,Synthetic_44,17,8000.0,Completed,0,0.0,2025-01-19,2025-02-03
71,Synthetic_45,17,8000.0,Completed,0,0.0,2025-01-26,2025-02-06
72,Synthetic_46,21,7000.0,Confirmed,0,1.0,2025-02-02,2025-02-18
73,Synthetic_47,17,7000.0,Completed,0,1.0,2025-02-09,2025-02-19
74,Synthetic_48,21,7000.0,Confirmed,0,0.0,2025-02-16,2025-02-28
75,Synthetic_49,21,8000.0,Completed,0,0.0,2025-02-23,2025-03-03
76,Synthetic_50,17,5000.0,Completed,0,1.0,2025-03-02,2025-03-15
77,Synthetic_51,21,5000.0,Confirmed,0,0.0,2025-03-09,2025-03-23
78,Synthetic_52,5,8000.0,Confirmed,0,0.0,2025-03-16,2025-03-29
79,Synthetic_53,5,4000.0,Completed,0,1.0,2025-03-23,2025-03-30
80,Synthetic_54,21,7000.0,Confirmed,0,0.0,2025-03-30,2025-04-15
81,Synthetic_55,5,8000.0,Completed,0,1.0,2025-04-06,2025-04-15
82,Synthetic_56,21,8000.0,Confirmed,0,0.0,2025-04-13,2025-04-27
83,Synthetic_57,5,8000.0,Completed,0,1.0,2025-04-20,2025-05-04
84,Synthetic_58,17,6000.0,Completed,0,0.0,2025-04-27,2025-05-12
85,Synthetic_59,11,5000.0,Confirmed,0,0.0,2025-05-04,2025-05-20
86,Synthetic_60,5,6000.0,Confirmed,0,0.0,2025-05-11,2025-05-25
87,Synthetic_61,21,6000.0,Confirmed,0,0.0,2025-05-18,2025-05-27
88,Synthetic_62,17,8000.0,Completed,0,0.0,2025-05-25,2025-06-08
89,Synthetic_63,17,4000.0,Confirmed,0,0.0,2025-06-01,2025-06-15
90,Synthetic_64,17,6000.0,Completed,0,1.0,2025-06-08,2025-06-15
91,Synthetic_65,11,5000.0,Confirmed,0,0.0,2025-06-15,2025-06-27
92,Synthetic_66,11,4000.0,Confirmed,0,1.0,2025-06-22,2025-06-29
