id,project_id,name
73,27,Deploy
74,27,Build
75,27,Review
76,28,Deploy
77,28,Build
78,28,Design
79,28,Review
80,28,Plan
81,29,Build
82,29,Design
83,29,Review
84,29,Test
85,30,Plan
86,30,Test
87,30,Build
88,30,Review
89,30,Design
90,31,Plan
91,31,Design
92,31,Build
93,32,Design
94,32,Plan
95,32,Review
96,32,Deploy
97,33,Plan
98,33,Design
99,33,Review
100,34,Review
101,34,Plan
102,34,Build
103,34,Test
104,34,Deploy
105,35,Review
106,35,Design
107,35,Deploy
108,36,Deploy
109,36,Design
110,36,Review
111,37,Design
112,37,Review
113,37,Test
114,37,Plan
115,37,Build
116,38,Test
117,38,Build
118,38,Review
119,38,Deploy
120,38,Plan
121,39,Plan
122,39,Build
123,39,Deploy
124,40,Build
125,40,Deploy
126,40,Design
127,40,Review
128,40,Test
129,41,Design
130,41,Plan
131,41,Build
132,41,Review
133,41,Deploy
134,42,Test
135,42,Build
136,42,Design
137,42,Plan
138,43,Deploy
139,43,Design
140,43,Build
141,43,Plan
142,44,Deploy
143,44,Plan
144,44,Design
145,45,Build
146,45,Test
147,45,Deploy
148,46,Build
149,46,Design
150,46,Plan
151,46,Review
152,47,Review
153,47,Plan
154,47,Build
155,48,Build
156,48,Design
157,48,Deploy
158,48,Test
159,48,Plan
160,49,Review
161,49,Test
162,49,Deploy
163,49,Build
164,49,Design
165,50,Test
166,50,Deploy
167,50,Review
168,50,Design
169,50,Plan
170,51,Build
171,51,Design
172,51,Test
173,51,Deploy
174,51,Review
175,52,Review
176,52,Build
177,52,Plan
178,52,Deploy
179,52,Test
180,53,Plan
181,53,Review
182,53,Test
183,53,Design
184,54,Deploy
185,54,Build
186,54,Review
187,54,Design
188,55,Review
189,55,Build
190,55,Deploy
191,56,Design
192,56,Test
193,56,Plan
194,56,Build
195,56,Review
196,57,Review
197,57,Test
198,57,Build
199,57,Deploy
200,58,Review
201,58,Test
202,58,Deploy
203,58,Plan
204,59,Design
205,59,Plan
206,59,Test
207,59,Deploy
208,60,Design
209,60,Build
210,60,Deploy
211,60,Review
212,60,Plan
213,61,Plan
214,61,Test
215,61,Design
216,61,Deploy
217,62,Build
218,62,Deploy
219,62,Test
220,62,Review
221,62,Plan
222,63,Deploy
223,63,Plan
224,63,Review
225,63,Design
226,63,Build
227,64,Plan
228,64,Design
229,64,Test
230,64,Deploy
231,65,Build
232,65,Deploy
233,65,Test
234,65,Plan
235,65,Design
236,66,Review
